protectionist,age,female,TUmember,partyid,ideology,schooling
1,38,1,0,5,0,12
0,57,1,0,5,0,12
1,40,0,1,4,0,10
0,36,0,0,4,0,16
0,22,0,0,5,2,12
1,49,1,0,1,0,17
0,50,0,0,6,0,14
0,25,0,0,1,2,15
1,62,0,0,0,0,12
1,58,1,0,1,0,14
1,22,1,0,1,2,12
1,30,0,0,6,0,16
0,45,1,0,6,2,16
0,39,0,0,6,0,17
1,86,1,0,5,0,9
0,70,0,0,3,0,17
1,28,0,0,5,0,16
0,41,0,0,5,0,14
1,81,0,0,1,2,13
0,51,0,1,5,1,12
0,34,0,0,6,0,17
1,37,0,0,3,0,12
1,55,1,0,1,2,13
0,35,0,1,1,0,14
1,78,0,1,0,0,9
1,42,0,0,1,0,15
0,73,1,0,4,0,10
0,70,0,0,6,0,12
1,65,1,0,1,2,11
1,78,0,0,3,1,12
1,41,1,0,0,0,12
0,34,1,0,0,2,16
0,42,0,0,1,2,17
1,55,1,0,0,2,15
1,28,1,0,1,1,13
1,70,1,0,1,1,12
1,35,0,0,2,2,12
1,37,1,0,0,1,12
1,79,1,0,5,0,17
0,40,0,0,2,2,16
0,57,0,0,4,0,16
1,66,0,0,5,0,17
1,59,1,0,0,1,14
0,45,0,0,0,2,17
0,70,0,0,6,0,16
1,43,0,0,1,0,15
1,36,1,0,6,0,12
1,35,0,0,6,0,11
1,59,0,0,5,0,13
1,72,1,0,4,0,12
1,62,0,0,0,0,12
1,43,1,0,1,2,14
1,28,0,0,1,2,17
1,35,0,0,0,0,12
1,57,1,0,4,0,12
1,39,0,0,2,2,12
1,25,0,0,0,2,17
1,35,1,0,0,2,15
1,65,1,0,5,0,12
0,23,0,0,2,0,16
1,68,1,0,5,0,12
0,35,0,0,3,2,14
1,40,1,0,5,0,16
0,44,0,0,1,2,17
0,41,1,0,0,2,16
0,33,1,0,5,0,16
0,38,1,0,4,0,16
1,55,0,0,5,2,17
1,67,1,1,6,0,13
0,43,0,0,1,0,15
0,34,0,0,1,2,15
1,51,0,0,0,2,13
1,25,0,0,2,0,14
0,54,1,0,4,0,14
1,47,0,1,2,0,17
1,60,1,1,0,2,14
1,53,1,0,2,2,12
1,34,0,0,6,0,11
1,67,0,0,0,2,12
0,41,0,0,4,0,17
1,25,0,0,0,2,15
0,54,0,0,6,0,17
0,30,0,0,4,0,17
1,48,0,0,4,0,15
0,24,0,0,3,0,12
1,38,1,0,0,2,14
0,37,0,0,0,2,15
0,47,0,0,1,2,17
1,45,0,0,2,2,15
0,40,0,0,1,2,15
1,29,0,0,6,0,13
1,28,0,0,4,2,14
1,53,1,1,5,0,12
0,52,0,1,6,0,17
0,38,1,0,4,2,13
1,35,0,0,1,2,16
1,41,1,0,6,0,12
0,62,0,0,0,2,17
1,39,0,0,1,2,17
0,63,1,0,0,2,8
0,36,1,0,6,0,17
1,46,0,0,4,0,16
1,35,0,1,6,0,14
0,43,0,0,5,0,17
0,61,1,0,3,0,17
0,36,0,0,5,0,16
0,49,0,0,6,0,17
1,41,0,0,3,0,17
0,50,0,0,6,0,16
0,49,0,0,6,0,16
0,34,1,0,6,0,17
0,49,1,0,6,0,17
0,41,0,0,3,1,16
1,51,1,0,1,0,12
1,56,0,0,6,0,12
1,38,1,0,5,0,13
1,46,0,0,6,0,14
0,32,0,1,2,2,17
1,44,0,0,1,0,14
0,35,1,0,0,2,14
0,31,0,0,5,2,16
1,38,0,0,5,0,12
1,34,0,0,4,0,9
1,72,0,1,0,1,9
1,39,1,0,1,2,12
1,51,1,1,0,2,15
0,30,1,0,5,0,17
0,75,0,0,5,0,16
0,42,1,0,0,2,16
0,56,0,0,1,2,17
1,72,0,0,1,0,10
0,67,1,0,1,2,14
1,47,0,1,2,0,14
1,32,0,0,5,0,16
1,51,0,1,2,1,12
0,58,0,0,1,2,17
1,75,0,1,4,0,12
1,71,1,0,2,2,16
1,43,1,0,0,2,12
0,40,0,0,5,0,17
1,42,1,0,5,0,16
0,62,0,0,5,0,16
